End of Inspection,Plant,Region,Supplier,,Inspection Lot No.,Quantity (USG),"010A COLOR, SAYBOLT","010B COLOR,",100C TOTAL ACID NUMBER MG KOH/G,110A AROMATICS % VOL,130 MERCAPTAN SULFUR,140 DOCTOR TEST,150A SULFUR - OXYGEN BOMB %(M),150B TOTAL SULFUR %(M),150D SULFUR - X-RAY %(M),150E TOTAL SULFUR %(M),150F SULFUR - X-RAY FLUORESCENCE %(M),"150G SULFUR, TOTAL  %(M)","150IPA SULFUR, TOTAL",160A HYDROGEN CONTENT %(M),160B HYDROGEN CONTENT %(M),160E HYDROGEN CONTENT,020 APPEARANCE,200A TEST METHOD D86,200B TEST METHOD D2887,201 DIST TEMP:  INITIAL BOILING POINT,202 DIST TEMP:  10% EVAPORATED,203 DIST TEMP:  20% EVAPORATED,204 DIST TEMP:  50% EVAPORATED,206 DIST TEMP: 90% EVAPORATED,021 APPEARANCE,211 DIST TEMP: FINAL BOILING POINT,213 DIST TEMP: RESIDUE,214 DIST TEMP: LOSS,220A FLASH POINT,220B FLASH POINT,220C FLASH POINT,220IPA FLASH POINT,230A DENSITY @ 15蚓 KG/L,230B SPECIFIC GRAVITY @ 60/60蚌  KG/L,231B API GRAVITY - DIGITAL (API),300A FREEZING POINT,300C FREEZING POINT,300E FREEZING POINT,300F FREEZING POINT,310 VISCOSITY @ -54蚓 (MM2/S),231A API GRAVITY,400C NET HEAT OF COMBUSTION MJ/KG,400D NET HEAT OF COMBUSTION MJ/KG,400E NET HEAT OF COMBUSTION MJ/KG,420 SMOKE POINT MM,500 COPPER STRIP CORROSION (2 H @ 100蚓),600A THERMAL STABILITY @ 275C,600B THERMAL STABILITY @ 260C,601 CHANGE IN PRESSURE,"602 TUBE DEPOSIT RATING, VISUAL",602A ELLIPSOMETRIC TUBE RATING,710 EXISTENT GUM,710IPA EXISTENT GUM,720A PARTICULATE MATTER,720B PARTICULATE MATTER,723 PARTICULATE COUNTING  >= 4 然,723A PARTICULATE COUNTING  ISO >= 4 然,724 PARTICULATE COUNTING= 6 然,724A PARTICULATE COUNTING ISO = 6 然,726 PARTICULATE COUNTING  >= 14 然,726A PARTICULATE COUNTING  ISO>= 14 然,727 PARTICULATE COUNTING  >= 21 然,727A PARTICULATE COUNTING  ISO>= 21 然,728 PARTICULATE COUNTING  >= 25 然,728A PARTICULATE COUNTING  ISO>= 25 然,729 PARTICULATE COUNTING  >= 30 然,729A PARTICULATE COUNTING  ISO>= 30 然,730 FILTRATION TIME,750 WSIM,750A MICROSEPAROMETER RATING,750B MICROSEPAROMETER RATING,800 ANTI-OXIDANT,802 ANTIOXIDANT CONCENTRATION,801 ANTIOXIDANT ADDITIVE INJECTION POINT,821 SDA INJECTION POINT,830A FSII,831FSII INJECTION POINT,840 CORROSION INHIBITOR,841 CI INJECTION POINT,842 CORROSION INHIBITOR CONCENTRATION,910A CALCULATED CETANE INDEX,910B CALCULATED CETANE INDEX,BATCH NUMBER,CRUDE PROCESS TECH,PRODUCT,REPORT DATE,SAMPLE NUMBER,SHIPMENT NUMBER,TANK NUMBER,120 NAPHTHALENE,725IPA PARTICULATE COUNTING,725IPB PARTICULATE COUNTING,725IPC PARTICULATE COUNTING,740 WATER REACTION INTERFACE RATING,812 METAL DEACTIVATOR CONCENTRATION,811 METAL DEACTIVATOR INJECTION POINT,820 STATIC DISSIPATER,900 ELECTRICAL CONDUCTIVITY,990A FAME CONTENT,990B FAME CONTENT
9/30/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002182829,"350,007",,,0.022,20.4,0,,,,,,0.09,,,,,,,,,141,158,166,194,250,,273,1,0.7,40,,,,,0.812,42.6,,,,-48,3.9,,43,,,20,1A,,,0.1,0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/29/2015,092815-1248,DLA0929Z,F,2.2,,,,,,,,403,,
10/6/2015,EONP,OA Alaska,Not assigned,#,50000027505,"19,399",,,0.022,20.4,0,,,,,,0.09,,,,,,,,,141,158,166,194,250,,273,1,0.7,40,,,,,0.812,42.6,,,,-48,3.9,,43,,,20,1A,,,0.1,0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/29/2015,092815-1248,DLA0929,F,2.2,,,,,,,,362,,
10/6/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002234104,"19,399",,,0.022,20.4,0,,,,,,0.09,,,,,,,,,141,158,166,194,250,,273,1,0.7,40,,,,,0.812,42.6,,,,-48,3.9,,43,,,20,1A,,,0.1,0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,9/29/2015,092815-1248,DLA0929,F,2.2,,,,,,,,344,,
10/8/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002231361,"250,007",,,-0.026,-21.5,0,,,,,,-0.09,,,,,,,,,-141,-159,-166,-195,-250,,-271,-1,-1.3,-40,,,,,-0.812,-42.6,,,,49,-4.2,,-43,,,-20,1A,,,-3,0,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,,,,,,ATMOSPHERIC DISTILLAITON,JP8,10/6/2015,100315-1276,,E,-2.4,,,,,,,,-308,,
10/8/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002252819,"249,963",,,-0.025,-21.4,0,,,,,,-0.1,,,,,,,,,-142,-161,-167,-196,-251,,-273,-1,-1,-40,,,,,-0.813,-42.4,,,,48,-4,,-43,,,-20,1A,,,,1,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,10/7/2015,100615-1291,DLA1007Z,F,-2.4,,,,,,,,-322,,
10/14/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002268022,"347,642",,,-0.024,-21.3,0,,,,,,-0.1,,,,,,,,,-141,-159,-166,-196,-252,,-273,-0.8,-1.1,-40,,,,,-0.813,-42.3,,,,47,-4,,-43,,,-20,1A,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,-0.09,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,10/13/2015,101215-1322,DLA1013Z,E,-2.4,,,,,,,,-316,,
10/16/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002243036,"360,004",,,0.032,20.3,0,,,,,,0.1,,,,,,,,,140,159,165,196,252,,275,1,1.3,41,,,,,0.813,42.5,,,-48,,4,,43,,,20,1A,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,8/27/2015,082515-1050,DLA0827Z,E,2.1,,,,,,,,329,,
10/20/2015,EOAT,OA Greece,MOTOR OIL (HELLAS) CORINTH,1.1G,10002286205,"7,890,438",1,,0.008,14.8,0.001,POSITIVE,,,,,0.3,,,14.1,,,PASS,,,150,165,172,187,225,,245,1.2,0.8,,45,,,,0.7862,,-58,,,,3.712,,43.3,,,25,,,600B  260C,0,1,,2,,,0.52,,,,,,,,,,,,,5,,98,,,,,,,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,10/14/2015,,DLA1016Z,780,,,,,1B,,,,,,
10/21/2015,EOAT,OA Greece,Not assigned,#,50000028058,"7,890,438",1,,0.008,14.8,0.001,POSITIVE,,,,,0.29,,,14.1,,,PASS,,,150,164,172,188,224,,245,1,0.8,,45,,,,0.7863,,-58,,,,3.724,,43.3,,,25,1A,,600B  260C,1,1,,1,,,0.52,,,,,,,,,,,,,5,,97,,,,,,,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,10/15/2015,,DLA1016Z,780,,,,,1B,,,,4,,
10/21/2015,EOAT,OA Greece,Not assigned,#,50000028059,"7,890,438",7,,0.008,14.7,0.002,POSITIVE,,,,,0.29,,,,14,,PASS,,,150,165,172,189,227,,248,1.2,0.8,,42,,,,0.7867,,-58,,,,3.772,,43.3,,,25,1A,,600B  260C,0,1,,2,,,0.54,,,,,,,,,,,,,5,,98,,,,,,,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,10/14/2015,,DLA1016Z,753,,,,,1B,,,,5,,
10/21/2015,EOAT,OA Greece,Not assigned,#,50000028060,"7,890,438",6,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,44,,,,0.7866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,10/15/2015,,DLA1016Z,BERTH B LINE SAMPLE,,,,,,,,,,,
10/21/2015,EOAT,OA Greece,Not assigned,#,50000028062,"7,890,438",7,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,41,,,,0.7887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,10/15/2015,,DLA1016Z,LINE SAMPLE PUMP STATION,,,,,,,,,,,
10/21/2015,EOAT,OA Greece,Not assigned,#,50000028063,"7,890,438",6,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,44,,,,0.7867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,10/15/2015,,DLA1016Z,CUSTODY 5',,,,,,,,,,,
10/21/2015,EOAT,OA Greece,Not assigned,#,50000028064,"7,890,438",6,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,44,,,,0.7867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,10/15/2015,,DLA1016Z,CUSTODY 15',,,,,,,,,,,
10/21/2015,EOAT,OA Greece,Not assigned,#,50000028065,"7,890,438",6,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,44,,,,0.7866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,10/15/2015,,DLA1016Z,SHIPS FIRST IN SAMPLE,,,,,,,,,2,,
10/21/2015,EOAT,OA Greece,Not assigned,#,50000028066,"7,890,438",7,,,,,,,,,,,,,,,,PASS,,,150,164,172,188,224,,245,1.2,0.8,,43,,,,0.7865,,-58,,,,,,,,,,1A,,,,,,,1,,0.62,,,,,,,,,,,,,9,,86,,,,,,0.09,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,10/16/2015,,DLA1016Z,SHIPS COMPOSITE SAMPLE,,,,,1B,,,,320,,
10/21/2015,EOAT,OA Greece,Not assigned,#,50000028061,"7,890,438",,7,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,44,,,,0.7867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,10/15/2015,,DLA1016Z,LINE SAMPLE METRIC STATIO,,,,,,,,,,,
10/21/2015,EOAT,OA Greece,MOTOR OIL (HELLAS) CORINTH,#,50000028065,"7,890,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,JP8,,,,,,,,,,,,,,,
10/22/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002286216,"359,192",,,0.024,20.7,0,,,,,,0.09,,,,,,,,,140,159,165,194,249,,271,0.8,0.7,40,,,,,0.813,42.5,,,,-48,3.9,,43,,,21,1A,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,ATMOSPHERIC DISTILLATION,JP8,10/20/2015,101915-1363,DLA1020Z,F,2.3,,,,,,,,378,,
10/23/2015,EDKK,DFSP GUNSAN2,"HYUNDAI OILBANK CO., LTD. DBA",WestPac JP8/JA1,10002302689,"792,804",,-23,-0.007,-17.6,-0.001,,,,,,-0.17,,,-13.9,,,PASS,200A  D86,,-153,-168,-174,-194,-237,,-255,-1.2,-0.3,,-45,,,,-0.794,-46.7,,49,,,-3.606,,-43.3,,,-22,1B,,600A  275C,-0.3,<1,,,-1,,-0.1,-372.2,,-71.7,,-8.6,,-4.9,,-4.5,,,-4.1,-4,,-95,,800V,-19,,,-0.08,,840C,,-9,-44.6,,,,JP8,10/19/2015,,DLA1021Z,MFA5263,-1.1,,,,1B,,,,,,
10/26/2015,EDKK,DFSP GUNSAN2,Not assigned,#,50000028250,"792,804",,20,0.007,17.6,0.001,,,,,,0.17,,,13.7,,,PASS,200A  D86,,153,168,174,195,238,,255,1.2,0.8,,44,,,,0.7938,46.7,,-49,,,3.574,,43.1,,,22,1A,,600A  275C,1,<1,,1,,,0.22,385.5,,46.6,,4.1,,1.4,,0.8,,,0.6,8,,96,,800V,19,,,0.09,,840C,,9,44.9,,,,JP8,10/21/2015,JJ00JP8,DLA1021Z,,0.7,,,,1B,,,,,,
10/28/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002314568,"350,012",,,0.025,21.5,0,,,,,,0.09,,,,,,,,,139,159,165,194,250,,271,0.8,1,40,,,,,0.812,42.5,,,,-48,3.9,,43,,,20,1A,,,1,2,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,JP8,,,,,2.4,,,,,,,,368,,
10/28/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002318860,"19,066",,,,21.5,0,,,,,,0.09,,,,,,,,,139,159,165,194,250,,271,0.8,1,40,,,,,0.812,42.5,,,-48,,3.9,,43,,,20,1A,,,1,2,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,JP8,,,,,2.4,,,,,,,,330,,
10/28/2015,EORK,OA  S Korea,S-OIL CORPORATION DBA,11H,10002325823,"8,816,162",27,,0.004,19.9,,NEGATIVE,,,,,0.21,,,13.8,,,PASS,200A  D86,,148,166,173,193,237,,264,0.6,0.3,,39,,,,0.7919,47.1,,,-50,,3.405,,43.3,,,23.7,1A,,,0,1,,1.2,,,0.41,261.2,,84.2,,5.9,,1.4,,0.9,,0.5,,7,,85,,,,,,0.08,,,,,44.9,,,,JP8,10/24/2015,FULL SPECIFICATION TES,DLA1026Z,TK-85331,0.7,,,,1B,,,,,,
10/29/2015,DEHQ,DEHQ,Not assigned,#,50000028310,"19,066",,,,21.5,0,,,,,,0.09,,,,,,,,,139,159,165,194,250,,271,0.8,1,40,,,,,0.812,42.5,,,-48,,3.9,,43,,,20,1A,,,1,2,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,JP8,,,,,2.4,,,,,,,,380,,
11/4/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002348971,"360,007",,,0.02,21,0,,,,,,0.09,,,,,,,,,,158,,197,252,,276,0.8,1.5,40,,,,0.812,,,,,-48,,3.9,,43,,,20,1A,,,1,0,,,0.1,,,,,,,,,,,,,,,,96,,,,,,,0.09,,,,,,,,,JP8,,,,,2.3,,,,,,,,416,,
11/4/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002351684,"9,787",,,0.02,21,0,,,,,,0.09,,,,,,,,,,158,,197,252,,276,0.8,1.5,40,,,,0.812,,,,,-48,,3.9,,43,,,20,1A,,,,,,,0.1,,,,,,,,,,,,,,,,96,,,,,,,0.07,,,,,,,,,JP8,,,,,2.3,,,,,,,,310,,
11/10/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002359178,"9,880",,,0.02,23,0,,,,,,0.09,,,,,,,,,,159,,196,251,,275,0.8,1.2,40,,,,0.812,,,,,,-48,3.9,,43,,,21,1A,,,,,,,0.3,,,,,,,,,,,,,,,,98,,,,,,,0.07,,,,,,,,,JP8,,,,,2.3,,,,,,,,,,
11/12/2015,EDKK,DFSP GUNSAN2,"HYUNDAI OILBANK CO., LTD. DBA",WestPac JP8/JA1,10002397200,"796,204",,-28,-0.008,-18.3,-0.001,,,,,,-0.19,,,-13.8,,,PASS,200A  D86,,-154,-168,-174,-195,-249,,-258,-1.2,-1,,-44,,,,-0.7974,-45.9,,51,,,-3.62,,-43.2,,,-22,1B,,600A  275C,-1,<1,,-0.6,,,-0.12,-546.1,,-32.4,,-1.4,,-0.4,,-0.2,,-0.1,,-6,,-98,,800V,-19,,,-0.09,,840C,,-9,-43.3,,,,JP8,11/8/2015,,DLA1111Z,MFA5263,-0.7,,,,1B,,,,,,
11/12/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002375540,"360,012",,,0.02,22,0,,,,,,0.09,,,,,,,,,,159,,196,251,,275,0.8,1.2,40,,,,0.812,,,,,-48,,3.9,,43,,,21,1A,,,,,,,0.3,,,,,,,,,,,,,,,,98,,,,,,,0.1,,,,,,,,,JP8,,,,,2.3,,,,,,,,426,,
11/16/2015,EOAL,"OA Algeciras, Spain",COMPA??IA ESPA??OLA DE PETROLEOS,1.1G,10002400014,"6,765,329",,17,0.005,18.8,0.001,,,,,,0.04,,,,13.6,,PASS,,200A  D86,152,163,169,181,220,,249,0.8,0.8,,43,,,,0.802,,-80,,,,3.8,,43.2,,,22,1A,600A  275C,,3,1,,0.8,,,0.7,19,,17,,13,,12,,11,,10,,9,,,,800R,18,S,S,0.08,S,840F,S,,35,,PIPELINE,,JP8,11/4/2015,3766829,DLA1115Z,241,0.4,,,,1B,,,2,300,,
11/20/2015,DEHQ,DEHQ,Not assigned,#,50000029555,"3,360,000",,18,0.003,17.8,0.001,,,,,,0.02,,,,13.7,,PASS,,200A  D86,157,169,175,189,227,,250,1,0.4,,,,44,,0.806,,-70,,,,3.1,,43.2,,,22,1B,600A  275C,,2,1,,1.9,,,0.5,18,,16,,12,,10,,8,,7,,4,,85,,800R,18,S,S,0.09,S,840F,S,14,37.1,,PIPELINE,,JP8,11/7/2015,3768751,DLA1115Z,242,0.3,,,,1B,,,1,300,,
11/20/2015,DEHQ,DEHQ,Not assigned,#,50000029556,"3,360,000",,17,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,42,,,,0.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,S,,,,,,,,JP8,11/7/2015,3769507,DLA1115Z,HEAD OF PIPELINE,,,,,,,,,300,,
11/20/2015,DEHQ,DEHQ,Not assigned,#,50000029557,"3,360,000",,18,,,,,,,,,,,,,,,PASS,200A  D86,,154,169,175,189,227,,249,1.2,0.9,,45,,,,0.806,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.09,S,,,,,,,,JP8,11/7/2015,3769506,DLA1115Z,242- VERIFICATION,,,,,,,,,260,,
11/20/2015,DEHQ,DEHQ,Not assigned,#,50000029558,"3,360,000",,17,,,,,,,,,,,,,,,PASS,200A  D86,,152,163,169,181,222,,252,1.3,0.9,,40,,,,0.802,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.09,S,,,,,,,,JP8,11/6/2015,3768486,DLA1115Z,241- VERIFICATION,,,,,,,,,360,,
11/23/2015,DEHQ,DEHQ,Not assigned,#,50000029850,"8,816,162",26,,,,,,,,,,,,,,,,PASS,200A  D86,,149,166,173,193,237,,264,0.8,0.4,,41,,,,0.7919,47.1,,,-50,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,7,,93,,,,,,0.09,,,,,,,,,JP8,10/26/2015,QAR WITNESS TEST,DLA1026Z,TK-85331,,,,,1B,,,,,,
11/23/2015,DEHQ,DEHQ,Not assigned,#,50000029851,"8,816,162",27,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,40,,,,0.7919,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,JP8,10/26/2015,LINE FLUSHING,DLA1026Z,VESSEL,,,,,,,,,,,
11/23/2015,DEHQ,DEHQ,Not assigned,#,50000029852,"8,816,162",28,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,42,,,,0.7919,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,JP8,10/26/2015,LOAD ARM,DLA1026Z,VESSEL,,,,,,,,,,,
11/23/2015,DEHQ,DEHQ,Not assigned,#,50000029853,"8,816,162",27,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,41,,,,0.7919,47.1,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,,,6,,,,,,,,0.08,,,,,,,,,JP8,10/26/2015,FIRST IN,DLA1026Z,VESSEL,,,,,,,,,,,
11/23/2015,DEHQ,DEHQ,Not assigned,#,50000029854,"8,816,162",27,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,41,,,,0.7919,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP8,10/27/2015,MIDDLE,DLA1026Z,VESSEL,,,,,,,,,,,
11/23/2015,DEHQ,DEHQ,Not assigned,#,50000029855,"8,816,162",26,,,,,,,,,,,,,,,,PASS,200A  D86,,146,166,173,192,235,,264,0.9,,,42,,,,0.7919,47.1,,,-50,,,,,,,,1A,,,,,,1.2,,,0.52,,,,,,,,,,,,,7,,90,,,,,,0.09,,,,,,,,,JP8,10/27/2015,VESSEL FINAL,DLA1026Z,VESSEL,,,,,1B,,,,,,
12/9/2015,DEHQ,DEHQ,Not assigned,#,50000030603,"7,980,695",26,,,,,,,,,,,,,,,,PASS,200A  D86,,146,168,174,194,238,,264,1,0.2,,41,,,,,,,,-48,,,47.4,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,91,,,,,,0.09,,,,,,,,,JP8,12/2/2015,QAR WITNESS TEST,DLA1202Z,TK-85332,,,,,,,,,,,
12/9/2015,DEHQ,DEHQ,Not assigned,#,50000030604,"7,980,695",26,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,41,,,,,,,,,,,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,JP8,12/2/2015,LINE FLUSHING,DLA1202Z,VESSEL,,,,,,,,,,,
12/9/2015,DEHQ,DEHQ,Not assigned,#,50000030605,"7,980,695",26,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,42,,,,,,,,,,,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP8,12/2/2015,LOAD ARM,DLA1202Z,VESSEL,,,,,,,,,,,
12/9/2015,DEHQ,DEHQ,Not assigned,#,50000030606,"7,980,695",25,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,41,,,,,,,,,,,47.4,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,JP8,12/2/2015,FIRST-IN,DLA1202Z,VESSEL,,,,,,,,,,,
12/9/2015,DEHQ,DEHQ,Not assigned,#,50000030607,"7,980,695",26,,,,,,,,,,,,,,,,PASS,,,,,,,,,,,,,42,,,,,,,,,,,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP8,12/3/2015,LINE,DLA1202Z,VESSEL,,,,,,,,,,,
12/9/2015,DEHQ,DEHQ,Not assigned,#,50000030608,"7,980,695",26,,,,,,,,,,,,,,,,PASS,200A  D86,,146,168,174,194,238,,265,0.5,0.3,,42,,,,,,,,-48,,,47.4,,,,,,,,,,,,1.2,,0.68,,,,,,,,,,,,,,,95,,,,,,0.09,,,,,,,,,JP8,12/3/2015,VESSEL FINAL,DLA1202Z,VESSEL,,,,,1B,,,,,,
12/9/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002485216,"360,018",,,0.02,20,0,,,,,,0.09,,,,,,PASS,,,,159,,195,252,,276,0.8,1.5,41,,,,0.812,,,,,,-48,3.8,,43,,,20,1A,,260,,0,,,2,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,JP8,12/1/2015,112715-1514,DLA1201Z,F,2.2,,,,,,,,356,,
12/9/2015,EORK,OA  S Korea,S-OIL CORPORATION DBA,11H,10002477545,"7,980,695",26,,0.004,19.9,,NEGATIVE,,,,,0.19,,,,,13.8,PASS,200A  D86,,148,168,174,193,237,,264,0.5,0.4,,42,,,,0.7906,47.4,,,-49,,3.69,,43.3,,,24.8,1A,600A  275C,,0,1,,1.2,,,0.63,200.4,,70.5,,7.8,,2.3,,1.1,,0.6,,8,,88,,,222,,,0.09,,840B,,9,,45.6,,,JP8,12/1/2015,FULL SPEC' ANALYSIS,DLA1202Z,TK-85332,0.5,,,,1B,,,,,,
12/16/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002506370,"9,826",,,0.03,20,0,,,,,,0.09,,,,,,,,,,159,,196,251,,279,0.8,0.5,40,,,,0.812,,,,,-48,,3.9,,43,,,21,1A,,,1,0,,,0.1,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,JP8,12/15/2015,121415-1565,DLA1215,F,2.2,,,,,,,,,,
12/17/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002509773,"9,672",,,0.03,20,0,,,,,,0.09,,,,,,,,,,159,,196,251,,279,0.8,0.5,40,,,,0.812,,,,,-48,,3.9,,43,,,21,1A,,260,1,0,,,0.1,,,,,,,,,,,,,,,,93,,,,,,,0.07,,,,,,,,,JP8,12/16/2015,121415-1565,DLA1216,F,2.2,,,,,,,,213,,
12/17/2015,EONP,OA Alaska,PETRO STAR INC.,Rocky Mountain West JP4/JP8/JAB/JAA,10002509774,"360,003",,,0.03,20,0,,,,,,0.09,,,,,,,,,,159,,196,251,,279,0.8,0.5,40,,,,0.812,,,,,-48,,3.9,,43,,,21,1A,,260,1,0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,JP8,12/15/2015,121415-1565,DLA1215Z,F,2.2,,,,,,,,430,,
12/23/2015,DEHQ,DEHQ,Not assigned,#,50000031762,"796,204",,27,0.005,17.9,0.001,,,,,,0.19,,,13.8,,,PASS,200A  D86,,152,168,173,194,238,,256,1.2,0.9,,44,,,,0.7974,45.9,,-51,,,3.623,,43.2,,,22,1B,,600A  275C,1,<1,,0.8,,,0.2,584.4,,69,,2.7,,0.8,,0.5,,0.3,,7,,93,,800V,19,,,0.09,,840C,,9,42.8,,,,JP8,11/11/2015,JJ00JP8,DLA1111Z,,0.7,,,,1B,,,,,,
12/23/2015,EOAT,OA Greece,MOTOR OIL (HELLAS) CORINTH,1.1G,10002506320,"7,877,345",5,,0.008,15.5,0.002,POSITIVE,,,,,0.28,,,,14,,PASS,,,150,165,173,191,235,,258,1.2,0.8,42,,,,,0.7908,,-53,,,,3.724,,43.3,,,25,1A,,600B  260C,0,1,,,2,,0.68,,,,,,,,,,,,,6,,97,,,,,,,,,,,,,,,JP8,12/12/2015,,DLA1215Z,780,,,,,1B,,,,,,
